Anna,Jan,Nowak,Ogrodnicza,27-600,Sandomierz
Maria,Andrzej,Kowalski,Ogrodowa,27-600,Sandomierz
Katarzyna,Piotr,Wiśniewski,Opatowska,27-600,Sandomierz
Małgorzata,Krzysztof,Dąbrowski,Orzechowa,27-600,Sandomierz
Agnieszka,Stanisław,Lewandowski,Ożarowska,27-600,Sandomierz
Krystyna,Tomasz,Wójcik,Pallotyńska,27-600,Sandomierz
Barbara,Paweł,Kamiński,Panoramiczna,27-600,Sandomierz
Ewa,Józef,Kowalczyk,Parkowa,27-600,Sandomierz
Elżbieta,Marcin,Zieliński,Partyzantów,27-600,Sandomierz
Zofia,Marek,Szymański,Piaski,27-600,Sandomierz
Janina,Michał,Woźniak,Piastowska,27-600,Sandomierz
Teresa,Grzegorz,Kozłowski,Piszczele,27-600,Sandomierz
Joanna,Jerzy,Jankowski,Palestyńska,03-321,Warszawa
Magdalena,Tadeusz,Wojciechowski,Palisadowa,01-940,Warszawa
Monika,Adam,Kwiatkowski,Palmirska,03-892,Warszawa
Jadwiga,Łukasz,Kaczmarek,Palmowa,04-684,Warszawa
Danuta,Zbigniew,Mazur,Paluch,02-147,Warszawa
Irena,Ryszard,Krawczyk,Pałacowa,02-962,Warszawa
Halina,Dariusz,Piotrowski,Pałąk,02-268,Warszawa
Helena,Henryk,Grabowski,Pałuków,03-188,Warszawa
Beata,Mariusz,Nowakowski,Pejzażowa,02-703,Warszawa
Aleksandra,Kazimierz,Pawłowski,Pelargonii,04-990,Warszawa
Marta,Wojciech,Michalski,Pelikanów,02-843,Warszawa
Dorota,Robert,Nowicki,Pelplińska,01-683,Warszawa
Marianna,Mateusz,Adamczyk,Penelopy,03-642,Warszawa
Grażyna,Marian,Dudek,Peonii,04-794,Warszawa
Jolanta,Rafał,Zając,Płużańska,02-470,Warszawa
Stanisława,Jacek,Wieczorek,Płużnicka,03-184,Warszawa
Iwona,Janusz,Jabłoński,Płyćwiańska,02-713,Warszawa
Karolina,Mirosław,Król,Płytowa,03-046,Warszawa
Bożena,Maciej,Majewski,Pływacka,02-633,Warszawa
Urszula,Sławomir,Olszewski,Poborzańska,03-368,Warszawa
Justyna,Jarosław,Jaworski,Pochyła,03-147,Warszawa
Renata,Kamil,Wróbel,Pocieszeń,02-656,Warszawa
Alicja,Wiesław,Malinowski,Pociskowa,04-471,Warszawa
Paulina,Roman,Pawlak,Początkowa,04-984,Warszawa
Sylwia,Władysław,Witkowski,Poczobutta Marcina,01-594,Warszawa
Natalia,Jakub,Walczak,Pocztowa,03-009,Warszawa
Wanda,Artur,Stępień,Poczty Gdańskiej,02-495,Warszawa
Agata,Zdzisław,Górski,Pod Kopcem,00-713,Warszawa
Aneta,Edward,Rutkowski,Pod Lipą,02-798,Warszawa
Izabela,Mieczysław,Michalak,Pod Skocznią,02-709,Warszawa
Ewelina,Damian,Sikora,Pod Strzechą,02-798,Warszawa
Marzena,Dawid,Ostrowski,Podbiałowa,04-989,Warszawa
Wiesława,Przemysław,Baran,Podbipięty,02-732,Warszawa
Genowefa,Sebastian,Duda,Podborska,02-221,Warszawa
Patrycja,Czesław,Szewczyk,Mikołajska,02-455,Warszawa
